product_id,product_name,category,cost_price,current_price,competitor_price,historical_avg_price,delivery_cost,sales_volume_30d
PRD00001,Produit BEA-0001,Beauté,662.88,855.12,754.5,847.67,0.0,456
PRD00002,Produit JEU-0002,Jeux vidéo,612.8,669.74,742.94,835.25,0.0,149
PRD00003,Produit MAI-0003,Maison,460.96,527.24,559.65,504.6,0.0,306
PRD00004,Produit BEA-0004,Beauté,765.06,876.32,1041.19,868.66,0.0,487
PRD00005,Produit ELE-0005,Electroménager,164.38,212.85,218.37,215.32,0.0,346
PRD00006,Produit JOU-0006,Jouets,91.87,131.49,114.14,127.26,0.0,392
PRD00007,Produit MAI-0007,Maison,683.9,851.63,789.82,835.03,0.0,198
PRD00008,Produit MAI-0008,Maison,354.12,430.05,402.39,436.04,0.0,163
PRD00009,Produit BEA-0009,Beauté,678.34,890.21,861.95,897.27,0.0,181
PRD00010,Produit TÉL-0010,Téléphonie,715.01,1019.36,882.01,1056.95,0.0,239
PRD00011,Produit ELE-0011,Electroménager,54.65,76.12,88.81,78.34,0.0,421
PRD00012,Produit BEA-0012,Beauté,707.35,1024.54,1055.73,1072.24,0.0,241
PRD00013,Produit ELE-0013,Electroménager,361.41,400.41,434.38,404.3,0.0,65
PRD00014,Produit ELE-0014,Electroménager,410.79,468.1,408.89,477.39,0.0,170
PRD00015,Produit JOU-0015,Jouets,503.14,660.78,574.18,684.6,0.0,132
PRD00016,Produit MAI-0016,Maison,741.47,1028.57,1085.41,1063.54,0.0,80
PRD00017,Produit JEU-0017,Jeux vidéo,20.2,24.24,28.13,24.77,3.09,164
PRD00018,Produit JOU-0018,Jouets,384.09,454.66,470.56,454.67,0.0,441
PRD00019,Produit JOU-0019,Jouets,551.74,758.89,878.22,741.68,0.0,62
PRD00020,Produit ELE-0020,Electroménager,579.55,648.94,735.8,673.42,0.0,354
PRD00021,Produit SPO-0021,Sport,555.56,863.7,598.63,701.83,0.0,50
PRD00022,Produit MAI-0022,Maison,111.88,142.87,131.54,147.7,0.0,71
PRD00023,Produit TÉL-0023,Téléphonie,243.02,314.98,340.24,303.67,0.0,42
PRD00024,Produit JOU-0024,Jouets,290.18,393.2,395.25,385.92,0.0,322
PRD00025,Produit JEU-0025,Jeux vidéo,644.53,1053.97,750.96,783.1,0.0,450
PRD00026,Produit SPO-0026,Sport,226.61,297.87,296.83,307.95,0.0,320
PRD00027,Produit SPO-0027,Sport,172.51,179.6,226.42,233.95,0.0,317
PRD00028,Produit TÉL-0028,Téléphonie,766.17,1145.75,1156.59,968.35,0.0,215
PRD00029,Produit JOU-0029,Jouets,12.05,15.96,14.14,16.26,4.27,492
PRD00030,Produit JEU-0030,Jeux vidéo,798.27,950.59,901.07,910.46,0.0,190
PRD00031,Produit MAI-0031,Maison,543.07,613.47,636.87,607.92,0.0,157
PRD00032,Produit INF-0032,Informatique,663.63,757.7,829.23,756.69,0.0,489
PRD00033,Produit JEU-0033,Jeux vidéo,239.22,168.19,301.89,289.44,0.0,89
PRD00034,Produit TÉL-0034,Téléphonie,16.38,20.89,24.64,21.71,5.52,421
PRD00035,Produit SPO-0035,Sport,591.61,679.9,930.76,811.38,0.0,490
PRD00036,Produit MAI-0036,Maison,668.14,898.95,939.38,901.44,0.0,103
PRD00037,Produit JEU-0037,Jeux vidéo,593.68,817.0,755.84,829.05,0.0,50
PRD00038,Produit INF-0038,Informatique,118.57,144.99,146.12,142.51,0.0,253
PRD00039,Produit INF-0039,Informatique,603.98,749.92,819.43,786.33,0.0,106
PRD00040,Produit ELE-0040,Electroménager,616.29,889.35,872.14,791.51,0.0,293
